COMUNA,NOMBRE,PARTIDO,PACTO,RELECCIÓN,AÑOS EN EL CARGO,PERIODOS COMO ALCALDE,CANDIDATURAS ANTERIORES * ,FACEBOOK,TWITTER
Chonchi,PEDRO ANDRADE OYARZUN ,DC,Concertación,Sí,8,2004 - 2012,"1992, 1996, 2000, 2004, 2008",https://www.facebook.com/pedro.andradeoyarzun,chonchiuno
Cisnes,FRANCISCO RONCAGLIOLO,RN,Coalición,No,0,Ninguno,No,,Froncagliolo
Cisnes,LUIS VALDES ,PS,Concertación,Sí,8,2004 - 2012,"2004, 2008",,
Cobquecura,JULIO FUENTES ,PRSD,Por un Chile Justo,Sí,12,2000-2012,"1996, 2000, 2004, 2008",,
Cobquecura,OSVALDO CARO,IND,Coalición,No,0,Ninguno,No,https://www.facebook.com/pages/Osvaldo-Antonio-CARO-CARO/302863663111459,
Cochamó,CARLOS SOTO,PRSD,Por un Chile Justo,Sí,8,2004-2012,"1996, 2000, 2004, 2008",,
Cochamó,SILVERIO MORALES,RN,Coalición,No,8,1996-2004,"1992, 1996, 2000, 2004, 2008",,
Cochrane,JORGE ABELLO ,IND,Concertación,No,0,Ninguno,No,,
Cochrane,PATRICIO ULLOA,UDI,Coalición,Sí,2,2000-2004 / 2008-2012,"2000, 2004, 2008",,alcaldecochrane
Codegua,ANA MARIA SILVA ,DC,Concertación,Sí,4,2008 - 2012,2008,https://www.facebook.com/ana.m.silva.33,Anamariasilva32
Codegua,JOAQUIN VALENZUELA,IND,Sin Pacto,No,0,Ninguno,No,https://www.facebook.com/pages/Quiero-que-Joaqu%C3%ADn-sea-mi-nuevo-Alcalde/119967111452644,JoacoValenzuela
Codegua,JUAN CARRASCO,IND,Coalición,No,0,Ninguno,No,,
Coelemu,JUAN RIQUELME ,IND,Concertación, No,10,1994 - 2004,"1992, 1996, 2000",,
Coelemu,LAURA ARAVENA,IND,Coalición,Sí,4,2008 - 2012,"2000, 2004, 2008",,
Coelemu,ALEJANDRO PEDREROS,IND,Sin Pacto,No,0,Ninguno,No,https://www.facebook.com/alejandro.pedrerosurrutia,
Coihueco,ARNOLDO JIMENEZ ,PPD,Por un Chile Justo,Sí,8,2004 - 2012,"2004, 2008",,Arnoldojimenezv
Coihueco,MANUEL QUINTANA,IND,Sin Pacto,No,2,1994 - 1996,"1992, 1996, 2000",,
Coihueco,CARLOS CHANDIA,IND,Coalición,No,0,Ninguno,No,,
Coinco,GREGORIO VALENZUELA,RN,Coalición,Sí,18,1994-2012,"1992, 1996, 2000, 2004, 2008",,
Coinco,JUAN ABARCA ,DC,Concertación,No,2,1992-1994,"1992, 1996, 2000, 2008",,Juan_Abarca
Colbún,HERNAN NUÑEZ,PPD,Por un Chile Justo,No,0,Ninguno,1992,,Hernan_nunezr
Colbún,MARCO ALEE RODRIGUEZ,IND,Coalición,No,0,Ninguno,No,,
Colbún,CARLOS MENDEZ,IND,Sin Pacto,No,0,Ninguno,No,,
Colbún,PEDRO PABLO MUÑOZ,IND,Sin Pacto,Sí,4,2008-2012,2008,,
Colchane,DORIS MAMANI ,IND,Por un Chile Justo,No,0,Ninguno,No,,
Colchane,JAVIER GARCIA ,IND,Regionalistas e Independientes,No,0,Ninguno,No,,
Colchane,LUCIO CHALLAPA ,IND,Sin Pacto,No,0,Ninguno,No,,
Colchane,TEOFILO MAMANI ,RN,Coalición,Sí,0,2008-2012,"2000, 2008",,
Colina,RAUL OLIVARES,PH,Más Humanos,No,0,Ninguno,No,,Raulolivares65
Colina,MARIO OLAVARRIA ,UDI,Coalición,Sí,12,2000 - 2012,"2000, 2004, 2008",,Mario_Olavarria
Colina,RODRIGO ALBORNOZ,DC,Concertación,No,0,Ninguno,No,https://www.facebook.com/rodrigo.albornoz.alcalde,Ralbornozp
Collipulli,EMA VIDAL ,IND,Coalición,No,0,Ninguno,No,,
Collipulli,LEOPOLDO ROSALES,PS,Concertación,Sí,12,2000 - 2012,"1992, 2000, 2004, 2008",,
Coltauco,CARLOS RIVAS,UDI,Coalición,No,0,Ninguno,"1992, 1996, 2000",https://www.facebook.com/CarlosRivasLiberona,CarlosRivasL
Coltauco,ENRIQUE MIRANDA,IND,El cambio por ti,No,0,Ninguno,2004,https://www.facebook.com/pages/Enrique-Miranda-Alcalde-2012/384762694929556,
Coltauco,JONATHAN VASQUEZ,PRI,Regionalistas e Independientes,No,0,Ninguno,No,https://www.facebook.com/jonathanvasquez.candidatoaalcalde,
Coltauco,MARCIAL ABARCA ,IND,Sin Pacto,No,0,Ninguno,No,,
Coltauco,RUBEN JORQUERA,PS,Concertación,Sí,4,2008 - 2012,2008,,
Combarbalá,RODRIGO ORDENES,RN,Coalición,No,0,Ninguno,No,https://www.facebook.com/pages/Rodrigo-Ordenes-Un-Alcalde-en-Terreno-para-Combarbal%C3%A1/426943744004495,alcalderodrigo
Combarbalá,PEDRO CASTILLO ,IND,Concertación,No,0,Ninguno,No,https://www.facebook.com/Pedrocastillod,Pedrocastillod
Combarbalá,SOLERCIO ROJAS,IND,Regionalistas e Independientes,Sí,4,2008-2012,"2004, 2008",https://www.facebook.com/SolercioRojasB1?ref=stream,
Concepción,ALVARO ORTIZ,DC,Concertación,No,0,Ninguno,No,https://www.facebook.com/jovenes.ortiz,Ortizconce
